Date,tw2330,tw0050,tw2884,tw2603,tw1101
2010-01-04,64.9000015258789,56.5,5.445107936859131,15.202733039855957,27.403181076049805
2010-01-05,64.5,56.5,5.424714088439941,15.747182846069336,28.361892700195312
2010-01-06,64.9000015258789,57.54999923706055,5.506289005279541,15.495899200439453,28.96108627319336
2010-01-07,64.19999694824219,57.400001525878906,5.567470073699951,15.579660415649414,28.401838302612305
2010-01-08,64.0,57.75,5.649044036865234,16.41727638244629,28.281999588012695
2010-01-11,64.5,57.900001525878906,5.608256816864014,16.794204711914062,27.762697219848633
2010-01-12,63.599998474121094,57.599998474121094,5.547076225280762,16.668561935424805,27.60291290283203
2010-01-13,62.79999923706055,56.75,5.445107936859131,15.998468399047852,27.163503646850586
2010-01-14,63.20000076293945,57.45000076293945,5.465500831604004,16.41727638244629,27.323287963867188
2010-01-15,63.5,57.79999923706055,5.506289005279541,16.542919158935547,27.523019790649414
2010-01-18,62.900001525878906,57.5,5.465500831604004,16.165992736816406,27.323287963867188
2010-01-19,62.5,56.75,5.424714088439941,15.91470718383789,27.443126678466797
2010-01-20,63.0,56.400001525878906,5.343139171600342,16.50103759765625,27.163503646850586
2010-01-21,62.599998474121094,55.95000076293945,5.241170883178711,16.542919158935547,27.08361053466797
2010-01-22,61.099998474121094,54.400001525878906,5.139203071594238,15.956587791442871,25.405864715576172
2010-01-25,60.400001525878906,54.20000076293945,5.118809223175049,15.495899200439453,25.565649032592773
2010-01-26,60.099998474121094,52.95000076293945,4.955659866333008,14.78392505645752,24.28736686706543
2010-01-27,59.599998474121094,52.900001525878906,4.894478797912598,14.993329048156738,24.00774383544922
2010-01-28,60.0,54.04999923706055,4.935266017913818,15.077091217041016,24.367259979248047
2010-01-29,61.5,53.0,4.894478797912598,15.495899200439453,23.847957611083984
2010-02-01,59.79999923706055,52.400001525878906,4.853691101074219,15.286495208740234,23.56833267211914
2010-02-02,59.0,51.849998474121094,4.792510032653809,15.286495208740234,23.608278274536133
2010-02-03,59.79999923706055,52.75,4.874084949493408,15.244613647460938,23.847957611083984
2010-02-04,59.099998474121094,52.54999923706055,4.812903881072998,14.867687225341797,23.9278507232666
2010-02-05,57.20000076293945,50.75,4.5069990158081055,13.904427528381348,22.80935287475586
2010-02-08,57.400001525878906,50.849998474121094,4.547786235809326,14.448878288269043,22.609621047973633
2010-02-09,58.599998474121094,51.54999923706055,4.710936069488525,14.53264045715332,23.009084701538086
2010-02-10,58.400001525878906,52.099998474121094,4.7721171379089355,14.490758895874023,23.488439559936523
2010-02-22,59.0,52.599998474121094,4.914872169494629,14.8258056640625,23.80801010131836
2010-02-23,59.79999923706055,52.599998474121094,4.935266017913818,15.830945014953613,24.04768943786621
2010-02-24,58.5,52.25,4.894478797912598,15.663421630859375,24.28736686706543
2010-02-25,58.20000076293945,51.650001525878906,4.792510032653809,15.998468399047852,23.488439559936523
2010-02-26,58.79999923706055,51.54999923706055,4.853691101074219,16.082229614257812,23.648225784301758
2010-03-01,59.599998474121094,52.79999923706055,4.914872169494629,15.91470718383789,24.04768943786621
2010-03-02,59.900001525878906,52.650001525878906,4.914872169494629,15.621541023254395,24.16752815246582
2010-03-03,60.0,52.650001525878906,4.955659866333008,15.956587791442871,24.28736686706543
2010-03-04,59.20000076293945,52.20000076293945,4.812903881072998,16.040348052978516,24.00774383544922
2010-03-05,60.400001525878906,52.95000076293945,4.853691101074219,16.41727638244629,23.9278507232666
2010-03-08,61.20000076293945,53.650001525878906,4.935266017913818,16.71044158935547,23.768064498901367
2010-03-09,61.29999923706055,53.79999923706055,4.894478797912598,16.71044158935547,23.728118896484375
2010-03-10,61.400001525878906,53.79999923706055,5.118809223175049,16.71044158935547,23.728118896484375
2010-03-11,61.400001525878906,53.650001525878906,5.118809223175049,16.626680374145508,23.68817138671875
2010-03-12,60.79999923706055,53.599998474121094,5.078022003173828,16.626680374145508,23.52838706970215
2010-03-15,59.79999923706055,52.849998474121094,5.078022003173828,16.542919158935547,23.328655242919922
2010-03-16,59.70000076293945,53.099998474121094,5.2207770347595215,16.668561935424805,23.328655242919922
2010-03-17,60.5,54.150001525878906,5.281958103179932,16.752323150634766,23.488439559936523
2010-03-18,60.400001525878906,54.400001525878906,5.281958103179932,16.836084365844727,23.52838706970215
